DEBUG:root:Epoch: [0][    -1/414085]	Time ( 0.207)	Data ( 0.000)	Loss (3.1609e+01)	Acc@1 (  0.44)
DEBUG:root:Val Epoch: [0][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.9564e+01)	Acc@1 (  0.45)
DEBUG:root:Epoch: [1][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.7986e+01)	Acc@1 (  0.47)
DEBUG:root:Val Epoch: [1][   -1/25000]	Time ( 0.090)	Data ( 0.000)	Loss (2.8847e+01)	Acc@1 (  0.46)
DEBUG:root:Epoch: [2][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.6900e+01)	Acc@1 (  0.48)
DEBUG:root:Val Epoch: [2][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.8740e+01)	Acc@1 (  0.47)
DEBUG:root:Epoch: [3][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.6194e+01)	Acc@1 (  0.48)
DEBUG:root:Val Epoch: [3][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.8833e+01)	Acc@1 (  0.47)
DEBUG:root:Epoch: [4][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.5690e+01)	Acc@1 (  0.49)
DEBUG:root:Val Epoch: [4][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.8896e+01)	Acc@1 (  0.47)
DEBUG:root:Epoch: [5][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.5307e+01)	Acc@1 (  0.49)
DEBUG:root:Val Epoch: [5][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.9133e+01)	Acc@1 (  0.47)
DEBUG:root:Epoch: [6][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.4988e+01)	Acc@1 (  0.50)
DEBUG:root:Val Epoch: [6][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.9361e+01)	Acc@1 (  0.46)
DEBUG:root:Epoch: [7][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.4729e+01)	Acc@1 (  0.50)
DEBUG:root:Val Epoch: [7][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.9488e+01)	Acc@1 (  0.46)
DEBUG:root:Epoch: [8][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.4537e+01)	Acc@1 (  0.50)
DEBUG:root:Val Epoch: [8][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.9707e+01)	Acc@1 (  0.46)
DEBUG:root:Epoch: [9][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.4367e+01)	Acc@1 (  0.50)
DEBUG:root:Val Epoch: [9][   -1/25000]	Time ( 0.090)	Data ( 0.000)	Loss (2.9867e+01)	Acc@1 (  0.46)
DEBUG:root:Epoch: [10][    -1/414085]	Time ( 0.205)	Data ( 0.000)	Loss (2.4246e+01)	Acc@1 (  0.50)
DEBUG:root:Val Epoch: [10][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (3.0046e+01)	Acc@1 (  0.46)
DEBUG:root:Epoch: [11][    -1/414085]	Time ( 0.205)	Data ( 0.000)	Loss (2.4116e+01)	Acc@1 (  0.51)
DEBUG:root:Val Epoch: [11][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (3.0149e+01)	Acc@1 (  0.46)
DEBUG:root:Epoch: [12][    -1/414085]	Time ( 0.206)	Data ( 0.000)	Loss (2.4022e+01)	Acc@1 (  0.51)
DEBUG:root:Val Epoch: [12][   -1/25000]	Time ( 0.090)	Data ( 0.000)	Loss (3.0275e+01)	Acc@1 (  0.46)
DEBUG:root:Epoch: [13][    -1/414085]	Time ( 0.212)	Data ( 0.000)	Loss (2.3687e+01)	Acc@1 (  0.52)
DEBUG:root:Val Epoch: [13][   -1/25000]	Time ( 0.092)	Data ( 0.000)	Loss (2.7935e+01)	Acc@1 (  0.48)
DEBUG:root:Epoch: [14][    -1/414085]	Time ( 0.211)	Data ( 0.000)	Loss (2.2997e+01)	Acc@1 (  0.52)
DEBUG:root:Val Epoch: [14][   -1/25000]	Time ( 0.092)	Data ( 0.000)	Loss (2.7924e+01)	Acc@1 (  0.48)
DEBUG:root:Epoch: [15][    -1/414085]	Time ( 0.209)	Data ( 0.000)	Loss (2.2654e+01)	Acc@1 (  0.53)
DEBUG:root:Val Epoch: [15][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.7980e+01)	Acc@1 (  0.48)
DEBUG:root:Epoch: [16][    -1/414085]	Time ( 0.209)	Data ( 0.000)	Loss (2.2395e+01)	Acc@1 (  0.53)
DEBUG:root:Val Epoch: [16][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.8050e+01)	Acc@1 (  0.48)
DEBUG:root:Epoch: [17][    -1/414085]	Time ( 0.209)	Data ( 0.000)	Loss (2.2180e+01)	Acc@1 (  0.54)
DEBUG:root:Val Epoch: [17][   -1/25000]	Time ( 0.092)	Data ( 0.000)	Loss (2.8117e+01)	Acc@1 (  0.48)
DEBUG:root:Epoch: [18][    -1/414085]	Time ( 0.209)	Data ( 0.000)	Loss (2.1992e+01)	Acc@1 (  0.54)
DEBUG:root:Val Epoch: [18][   -1/25000]	Time ( 0.092)	Data ( 0.000)	Loss (2.8200e+01)	Acc@1 (  0.48)
DEBUG:root:Epoch: [19][    -1/414085]	Time ( 0.209)	Data ( 0.000)	Loss (2.1819e+01)	Acc@1 (  0.54)
DEBUG:root:Val Epoch: [19][   -1/25000]	Time ( 0.091)	Data ( 0.000)	Loss (2.8282e+01)	Acc@1 (  0.48)
DEBUG:root:Epoch: [20][    -1/414085]	Time ( 0.209)	Data ( 0.000)	Loss (2.1658e+01)	Acc@1 (  0.54)
DEBUG:root:Val Epoch: [20][   -1/25000]	Time ( 0.092)	Data ( 0.000)	Loss (2.8375e+01)	Acc@1 (  0.48)
